STREET_ID,DATE_ID,date,year,quarter,month,ZONE_ID,zone,CRIME_ID,crime,type,NPU_ID,npu,number
85,1774,2013-11-09,2013,4,November,10,1,10,AGG ASSAULT,house_number,13,T,133132451
86,508,2010-05-23,2010,2,May,26,1,3,BURGLARY-RESIDENCE,house_number,28,T,101430996
87,2345,2015-06-03,2015,2,June,57,2,4,LARCENY-FROM VEHICLE,house_number,62,D,151542145
87,2351,2015-06-09,2015,2,June,51,2,11,ROBBERY-PEDESTRIAN,house_number,62,D,151603044
88,180,2009-06-29,2009,2,June,30,1,3,BURGLARY-RESIDENCE,house_number,4,J,91801158
88,770,2011-02-09,2011,1,February,63,1,10,AGG ASSAULT,house_number,72,K,110400234
88,927,2011-07-16,2011,3,July,24,1,2,AUTO THEFT,house_number,26,L,111972434
88,1192,2012-04-06,2012,2,April,1,1,10,AGG ASSAULT,house_number,1,L,120970350
88,1231,2012-05-15,2012,2,May,30,1,10,AGG ASSAULT,house_number,4,J,121361035
88,1768,2013-11-03,2013,4,November,63,1,1,LARCENY-NON VEHICLE,house_number,72,K,133071327
88,1838,2014-01-12,2014,1,January,30,1,11,ROBBERY-PEDESTRIAN,house_number,4,J,140121170
89,471,2010-04-16,2010,2,April,17,6,4,LARCENY-FROM VEHICLE,house_number,17,O,101060771
89,1763,2013-10-29,2013,4,October,17,6,10,AGG ASSAULT,house_number,17,O,133022006
90,2581,2016-01-25,2016,1,January,51,2,11,ROBBERY-PEDESTRIAN,house_number,62,D,160250654
91,2963,2017-02-10,2017,1,February,58,4,11,ROBBERY-PEDESTRIAN,house_number,59,S,170411920
92,2747,2016-07-09,2016,3,July,25,4,2,AUTO THEFT,house_number,63,H,161910740
93,402,2010-02-06,2010,1,February,20,1,3,BURGLARY-RESIDENCE,house_number,64,G,100371909
94,1798,2013-12-03,2013,4,December,13,4,21,ROBBERY-PEDESTRIAN,road,13,T,133370096
95,1468,2013-01-07,2013,1,January,59,2,22,LARCENY-FROM VEHICLE,shop,65,B,130071875
96,2575,2016-01-19,2016,1,January,51,2,4,LARCENY-FROM VEHICLE,house_number,62,D,160190138
96,2628,2016-03-12,2016,1,March,51,2,3,BURGLARY-RESIDENCE,house_number,62,D,160722019
97,1292,2012-07-15,2012,3,July,60,5,23,AGG ASSAULT,building,33,M,121970687
98,1616,2013-06-04,2013,2,June,25,4,1,LARCENY-NON VEHICLE,house_number,66,H,131551231
99,105,2009-04-15,2009,2,April,61,2,4,LARCENY-FROM VEHICLE,house_number,67,A,91051158
100,862,2011-05-12,2011,2,May,29,3,24,AGG ASSAULT,amenity,31,Z,111322727
101,1091,2011-12-27,2011,4,December,54,1,4,LARCENY-FROM VEHICLE,house_number,68,K,113611275
102,1189,2012-04-03,2012,2,April,62,5,34,LARCENY-FROM VEHICLE,tourism,16,E,120940934
102,2668,2016-04-21,2016,2,April,62,5,25,ROBBERY-PEDESTRIAN,amenity,16,E,161120332
103,1101,2012-01-06,2012,1,January,11,1,2,AUTO THEFT,house_number,11,I,120060941
104,140,2009-05-20,2009,2,May,28,3,4,LARCENY-FROM VEHICLE,house_number,30,X,91400528
105,1970,2014-05-24,2014,2,May,38,5,18,LARCENY-NON VEHICLE,shop,39,E,141441348
105,2525,2015-11-30,2015,4,November,38,5,18,LARCENY-NON VEHICLE,shop,39,E,153342643
106,32,2009-02-01,2009,1,February,59,2,18,LARCENY-NON VEHICLE,shop,65,B,90321290
106,305,2009-11-01,2009,4,November,59,2,18,LARCENY-NON VEHICLE,shop,65,B,93051223
106,369,2010-01-04,2010,1,January,59,2,18,LARCENY-NON VEHICLE,shop,65,B,100040968
106,474,2010-04-19,2010,2,April,59,2,22,LARCENY-FROM VEHICLE,shop,65,B,101052121
106,496,2010-05-11,2010,2,May,59,2,18,LARCENY-NON VEHICLE,shop,65,B,101312131
106,521,2010-06-05,2010,2,June,42,2,20,AUTO THEFT,amenity,42,B,101560816
106,577,2010-07-31,2010,3,July,59,2,18,LARCENY-NON VEHICLE,shop,65,B,102121426
106,713,2010-12-14,2010,4,December,59,2,18,LARCENY-NON VEHICLE,shop,65,B,103482120
106,1147,2012-02-21,2012,1,February,59,2,18,LARCENY-NON VEHICLE,shop,65,B,120521758
106,1183,2012-03-28,2012,1,March,42,2,18,LARCENY-NON VEHICLE,shop,42,B,120881561
106,1192,2012-04-06,2012,2,April,59,2,18,LARCENY-NON VEHICLE,shop,65,B,120971849
106,1905,2014-03-20,2014,1,March,42,2,18,LARCENY-NON VEHICLE,shop,42,B,140792357
